Codigo,Area,Quartos,Banheiros,Suites,Vagas,Condominio,Endereco,IPTU,Titulo,Preco
258,110m2,4,2,1,3,350,"Rua Jornalista Lena Santos, 152",214,apartamento para alugar no fernao dias,R$ 1.800
259,110m2,4,2,1,3,350,"Rua Jornalista Lena Santos, 152",214,apartamento para alugar no fernao dias,R$ 1.800
260,95m2,3,2,1,1,265,"Rua Professor Norton Kaiserman, 61",163,apartamento para alugar no anchieta,R$ 1.500
263,70m2,3,1,0,1,265,"Rua Peçanha, 201",62,apartamento para alugar no carlos prates,R$ 980
264,75m2,3,2,1,1,110,"Rua São Claret, 409",86,apartamento para alugar no silveira,R$ 1.100
265,27m2,1,1,0,1,750,"Avenida Olegário Maciel, 1748",160,apartamento para alugar no lourdes,R$ 1.400
268,70m2,2,2,0,1,100,"Rua Rita Nunes Leite, 280",53,apartamento para alugar no jaragua,R$ 1.200
269,70m2,2,2,0,1,100,"Rua Rita Nunes Leite, 280",47,apartamento para alugar no jaragua,R$ 1.200
272,101m2,3,2,1,2,510,"Rua Doutor Sette Câmara, 351",442,apartamento para alugar no luxemburgo,R$ 2.450
276,70m2,2,2,1,2,470,"Rua Caetano Dias, 41",199,apartamento para alugar no serra,R$ 1.700
277,95m2,3,2,1,2,813,"Rua Sergipe, 326",342,apartamento para alugar no funcionarios,R$ 2.600
278,95m2,3,2,1,1,606,"Rua Fernando Esquerdo, 35",182,apartamento para alugar no gutierrez,R$ 1.850
279,190m2,4,2,1,2,1.300,"Avenida Uruguai, 530",177,apartamento para alugar no sion,R$ 2.500
280,140m2,4,2,1,4,350,"Rua Martim Francisco, 522",132,apartamento para alugar no gutierrez,R$ 2.000
282,120m2,3,2,1,1,200,"Rua Oscar Trompowsky, 721",102,apartamento para alugar no gutierrez,R$ 1.200
284,100m2,2,2,1,2,960,"Rua Passa Tempo, 100",284,apartamento para alugar no anchieta,R$ 2.800
285,75m2,3,2,1,1,290,"Rua Júlio De Castilho, 133",84,apartamento para alugar no betania,R$ 1.200
287,80m2,3,2,1,1,213,"Rua Nelson Lemos De Carvalho, 227",82,apartamento para alugar no palmares,R$ 1.100
288,100m2,2,1,0,0,309,"Rua Oliveira, 294",111,apartamento para alugar no cruzeiro,R$ 1.400
289,55m2,2,1,0,1,180,"Avenida José Cleto, 1715",N/D,apartamento para alugar no palmares,R$ 750
291,90m2,3,2,1,1,639,"Rua Conde De Linhares, 751",167,apartamento para alugar no cidade jardim,R$ 1.700
294,140m2,4,3,2,1,341,"Rua Oliveira, 236",173,apartamento para alugar no cruzeiro,R$ 2.200
296,100m2,3,2,1,1,600,"Rua Itajubá, 1945",146,apartamento para alugar no sagrada familia,R$ 1.200
298,190m2,4,2,1,2,800,"Rua Odilon Braga, 585",254,apartamento para alugar no anchieta,R$ 2.800
299,102m2,3,2,1,2,900,"Avenida Do Contorno, 4878",286,apartamento para alugar no funcionarios,R$ 2.900
301,70m2,2,2,1,2,694,"Rua Patagônia, 379",187,apartamento para alugar no sion,R$ 1.200
303,65m2,2,2,1,1,250,"Rua Ulisses Marcondes Escobar, 420",116,apartamento para alugar no buritis,R$ 1.000
307,100m2,3,2,1,1,750,"Rua Bolívia, 387",110,apartamento para alugar no sao pedro,R$ 950
